District,Thana,SubOffice,Post Code,location,coordinate
Manikganj,Ghior,Ghior,1840,"1840 Ghior,Manikganj","23.8970866,89.8715596"
Manikganj,Lechhraganj,Jhitka,1831,"1831 Jhitka,Manikganj","23.7723838,89.91405309999999"
Manikganj,Lechhraganj,Lechhraganj,1830,"1830 Lechhraganj,Manikganj","23.8644225,90.004663"
Manikganj,Manikganj Sadar,Barangail,1804,"1804 Barangail,Manikganj","23.8435481,89.8715596"
Manikganj,Manikganj Sadar,Gorpara,1802,"1802 Gorpara,Manikganj","23.9001106,89.9673469"
Manikganj,Manikganj Sadar,Mahadebpur,1803,"1803 Mahadebpur,Manikganj","23.8435591,89.88559210000001"
Manikganj,Manikganj Sadar,Manikganj Bazar,1801,"1801 Manikganj Bazar,Manikganj","23.8644225,90.004663"
Manikganj,Manikganj Sadar,Manikganj Sadar,1800,"1800 Manikganj Sadar,Manikganj","23.8346765,90.0186555"
Manikganj,Saturia,Baliati,1811,"1811 Baliati,Manikganj","23.9952732,90.04198769999999"
Manikganj,Saturia,Saturia,1810,"1810 Saturia,Manikganj","23.9729721,90.0361533"
Manikganj,Shibloya,Aricha,1851,"1851 Aricha,Manikganj","23.8849608,90.03207719999999"
Manikganj,Shibloya,Shibaloy,1850,"1850 Shibaloy,Manikganj","23.8375062,89.787257"
Manikganj,Shibloya,Tewta,1852,"1852 Tewta,Manikganj","23.8577782,89.77847369999999"
Manikganj,Shibloya,Uthli,1853,"1853 Uthli,Manikganj","23.8644225,90.004663"
Manikganj,Singari,Baira,1821,"1821 Baira,Manikganj","23.819525,90.0715738"
Manikganj,Singari,joymantop,1822,"1822 joymantop,Manikganj","23.8069284,90.1811571"
Manikganj,Singari,Singair,1820,"1820 Singair,Manikganj","23.8136788,90.1460089"
Munshiganj,Gajaria,Gajaria,1510,"1510 Gajaria,Munshiganj","23.5798241,90.6408347"
Munshiganj,Gajaria,Hossendi,1511,"1511 Hossendi,Munshiganj","23.8411877,90.7194301"
Munshiganj,Gajaria,Rasulpur,1512,"1512 Rasulpur,Munshiganj","23.5319548,90.6088254"
Munshiganj,Lohajong,Gouragonj,1334,"1334 Gouragonj,Munshiganj","23.5421898,90.5305087"
Munshiganj,Lohajong,Gouragonj,1534,"1534 Gouragonj,Munshiganj","23.5421898,90.5305087"
Munshiganj,Lohajong,Haldia SO,1532,"1532 Haldia SO,Munshiganj","23.4832854,90.2948797"
Munshiganj,Lohajong,Haridia,1333,"1333 Haridia,Munshiganj","23.4602312,90.38415309999999"
Munshiganj,Lohajong,Haridia DESO,1533,"1533 Haridia DESO,Munshiganj","23.4602312,90.38415309999999"
Munshiganj,Lohajong,Korhati,1531,"1531 Korhati,Munshiganj","23.4624365,90.3019281"
Munshiganj,Lohajong,Lohajang,1530,"1530 Lohajang,Munshiganj","23.4743053,90.32072989999999"
Munshiganj,Lohajong,Madini Mandal,1335,"1335 Madini Mandal,Munshiganj","23.5421898,90.5305087"
Munshiganj,Lohajong,Medini Mandal EDSO,1535,"1535 Medini Mandal EDSO,Munshiganj","23.4833667,90.2479232"
Munshiganj,Munshiganj Sadar,Kathakhali,1503,"1503 Kathakhali,Munshiganj","23.5421898,90.5305087"
Munshiganj,Munshiganj Sadar,Mirkadim,1502,"1502 Mirkadim,Munshiganj","23.5542176,90.4927134"
Munshiganj,Munshiganj Sadar,Munshiganj Sadar,1500,"1500 Munshiganj Sadar,Munshiganj","23.5489645,90.5350296"
Munshiganj,Munshiganj Sadar,Rikabibazar,1501,"1501 Rikabibazar,Munshiganj","23.5631419,90.49449949999999"
Munshiganj,Sirajdikhan,Ichapur,1542,"1542 Ichapur,Munshiganj","23.5574919,90.3866074"
Munshiganj,Sirajdikhan,Kola,1541,"1541 Kola,Munshiganj","23.563543,90.34424489999999"
Munshiganj,Sirajdikhan,Malkha Nagar,1543,"1543 Malkha Nagar,Munshiganj","23.5579694,90.4257743"
Munshiganj,Sirajdikhan,Shekher Nagar,1544,"1544 Shekher Nagar,Munshiganj","23.6178599,90.30418159999999"
Munshiganj,Sirajdikhan,Sirajdikhan,1540,"1540 Sirajdikhan,Munshiganj","23.5961616,90.3936722"
Munshiganj,Sreenagar,Baghra,1557,"1557 Baghra,Munshiganj","23.533333,90.19999990000001"
Munshiganj,Sreenagar,Rarikhal,1551,"1551 Rarikhal,Munshiganj","23.5170622,90.2402267"
Munshiganj,Sreenagar,Bhaggyakul,1558,"1558 Bhaggyakul,Munshiganj","23.5421898,90.5305087"
Munshiganj,Sreenagar,Hashara,1553,"1553 Hashara,Munshiganj","23.5646668,90.3259538"
Munshiganj,Sreenagar,Kolapara,1554,"1554 Kolapara,Munshiganj","23.5026962,90.25848350000001"
Munshiganj,Sreenagar,Kumarbhog,1555,"1555 Kumarbhog,Munshiganj","23.4594908,90.2854839"
Munshiganj,Sreenagar,Maijpara,1552,"1552 Maijpara,Munshiganj","23.5421898,90.5305087"
Munshiganj,Sreenagar,Sreenagar,1550,"1550 Sreenagar,Munshiganj","23.5428113,90.2948797"
Munshiganj,Sreenagar,Vaggyakul SO,1556,"1556 Vaggyakul SO,Munshiganj","23.5421898,90.5305087"
Munshiganj,Tangibari,Bajrajugini,1523,"1523 Bajrajugini,Munshiganj","23.5421898,90.5305087"
