Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Chabuler Bari Community Clinic,26.1858436,88.9417429,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Borobari Road, Khoga Khoribari",ChIJu2MHHitv4zkRqOg8Y906QHI,"5WPR+8M Khoga Khoribari, Bangladesh",7MRC5WPR+8M
SAF HOSPITAL,26.1786039,88.5467832,4.7,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Thakurgaon Sadar Upazila,ChIJCdTHgjKS5DkRFmzhfNGZar4,"5GHW+CP Boda, Bangladesh",7MRC5GHW+CP
Ghonimoheshpur community clinic,26.1715057,88.4088788,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ruhia,ChIJ7zx-zfbt5DkRJhbPOOVxmJg,"5CC5+JH Ruhia, Bangladesh",7MRC5CC5+JH
৫০ শয্যা বিশিষ্ট উপজেলা স্বাস্থ্য কমপ্লেক্স,26.1563567,88.9250984,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Medical Road,ChIJH60t-aJl4zkRHvLsUwdalLQ,"5W4G+G2 Balapara, Bangladesh",7MRC5W4G+G2
বাইশপুকুর কমিউনিটি ক্লিনিক,26.1542253,89.0367443,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Jaldhaka-Dalia Road, Jhunagach Chapani",ChIJ-UZxwGxt4zkRJIjTSdr5fsg,"523P+MM Khalisha Chapani, Bangladesh",7MRF523P+MM
Race Diagnostic Center,26.1533208,88.9220605,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Dimla Upazila,ChIJ0x5FJQZl4zkRHvdiIc4E1yA,"5W3C+8R Dimla, Bangladesh",7MRC5W3C+8R
Char Bhurungamari Hospital,26.1514808,89.7236989,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhurungamari,ChIJ7yVLPOeT4jkRH3aONHkyUiA,"5P2F+HF Bhurungamari, Bangladesh",7MRF5P2F+HF
"উপজেলা প্রাণিসম্পদ দপ্তর ও ভেটেরিনারি হাসপাতাল, বালিয়াডাঙ্গী",26.145288,88.294919,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Lahiri Hat - Charol Road,ChIJN46UGNHl5DkRcMW-UEszSGY,"47WV+4X Lahiri, Bangladesh",7MRC47WV+4X
Taranjubari Community Clinic,26.1384544,88.2327303,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Horinbari,ChIJP3DWY0bj5DkRN2F-FWqE40k,"46QM+93 Baliadangi, Bangladesh",7MRC46QM+93
নওদাবস কমিউনিটি ক্লিনিক।,26.1331596,88.8391557,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Domar Upazila,ChIJg3YMPTVh4zkRC_DGKJ1HxEQ,"4RMQ+7M Domar, Bangladesh",7MRC4RMQ+7M
