Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Binodpur Government Hospital,24.7385546,88.1033705,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Binodpur,ChIJ5_pkGI9T-jkRx-6g2OB80yc,"P4Q3+C8 Binodpur, Bangladesh",7MPCP4Q3+C8
Anok Government Hospital,24.7168851,88.097024,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Chauka,ChIJCZHdrDdT-jkRKimpxqvHsxg,"P38W+QR Monakasa, Bangladesh",7MPCP38W+QR
রিমা ডেন্টাল কেয়ার,24.7152819,88.0965834,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Monakasa Road, Monakasa",ChIJ4382DDNT-jkRT2eKXKFY5l4,"P38W+4J Monakasa, Bangladesh",7MPCP38W+4J
Kaliganj Community Clinic,24.7438016,88.0884233,2.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","শিবগঞ্জ উপজেলা, 6300",ChIJfVLczIBR-jkRycQoU8sym_k,"P3VQ+G9 Monakasa, Bangladesh",7MPCP3VQ+G9
Public Health Care Hospital,24.698145,88.1086993,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Chauka Arazi, Bankul",ChIJn5iFNUJN-jkRhPaGb5uBH_0,"M4X5+7F Monakasa, Bangladesh",7MPCM4X5+7F
Puthia Upazila Health Complex,24.3715361,88.83679,4,13,"['hospital', 'health', 'point_of_interest', 'establishment']","N6, Puthia Bazar",ChIJs338XuMI_DkRGlFmZjGHocw,"9RCP+JP Puthia Bazar, Bangladesh",7MPC9RCP+JP
Bhatpara Health Care,24.3523434,88.7969877,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Puthia Upazila,ChIJCVUp410I_DkRN5uFOiv-_aY,"9Q2W+WQ Shalua Bazar, Bangladesh",7MPC9Q2W+WQ
Amjad Khan Chowdhury Memorial Hospital,24.3754336,88.8887008,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Gorosthan Bazar, চান্দপুর",ChIJ8cAOdQ0P_DkR7p8HiiJhbVw,"9VGQ+5F Sarishabari, Bangladesh",7MPC9VGQ+5F
Amzad Khan Memorial Hospital,24.3837824,88.9140922,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi - Dhaka Highway,ChIJIeZvtQYP_DkRf5r2ogniBPU,"9WM7+GJ Sarishabari, Bangladesh",7MPC9WM7+GJ
নগর স্বাস্থ্য কেন্দ্র বুধপাড়া,24.379652,88.6490578,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Meher Chandi Budhpara Road, Rajshahi",ChIJNdxXhuPx-zkRgoormbPC7C8,"9JHX+VJ Rajshahi, Bangladesh",7MPC9JHX+VJ
Makka Eye Hospital,24.3671935,88.6069773,4.5,12,"['hospital', 'health', 'point_of_interest', 'establishment']","Ghoramara, 76",ChIJ97q8pLrv-zkRFw5QjWcWyM8,"9J84+VQ Rajshahi, Bangladesh",7MPC9J84+VQ
Makka Eye Hospital,24.3628472,88.606008,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi,ChIJJbNtLHvv-zkR0YnY9uXnQq4,"9J74+4C Rajshahi, Bangladesh",7MPC9J74+4C
Rajshahi (BNSB) Eye Hospital,24.3678972,88.599334,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi,ChIJTxqLR6nv-zkRk-tfODx85DI,"9H9X+5P Rajshahi, Bangladesh",7MPC9H9X+5P
Urban health care,24.3584564,88.6302156,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajshahi,ChIJQ5-PufXv-zkRE0W5Nl1E6t4,"9J5J+93 Rajshahi, Bangladesh",7MPC9J5J+93
Goribey Neyaj Clinic,24.3609026,88.6251318,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Rajshahi - Dhaka Highway, Rajshahi",ChIJp1rr3trv-zkR8S2nv8Vd2lk,"9J6G+93 Rajshahi, Bangladesh",7MPC9J6G+93
