District,Thana,SubOffice,Post Code,location,coordinate
Sylhet,Balaganj,Begumpur,3125,"3125 Begumpur,Sylhet","24.6593891,91.70584029999999"
Sylhet,Balaganj,Brahman Shashon,3122,"3122 Brahman Shashon,Sylhet","24.8949294,91.8687063"
Sylhet,Balaganj,Gaharpur,3128,"3128 Gaharpur,Sylhet","24.8649214,91.857536"
Sylhet,Balaganj,Goala Bazar,3124,"3124 Goala Bazar,Sylhet","24.707317,91.7319828"
Sylhet,Balaganj,Karua,3121,"3121 Karua,Sylhet","24.8949294,91.8687063"
Sylhet,Balaganj,Kathal Khair,3127,"3127 Kathal Khair,Sylhet","24.8949294,91.8687063"
Sylhet,Balaganj,Natun Bazar,3129,"3129 Natun Bazar,Sylhet","24.2085432,91.5129958"
Sylhet,Balaganj,Omarpur,3126,"3126 Omarpur,Sylhet","24.716743,91.685788"
Sylhet,Balaganjgfhfghj,Tajpur,3123,"3123 Tajpur,Sylhet","24.723399,91.75266479999999"
Sylhet,Bianibazar,Bianibazar,3170,"3170 Bianibazar,Sylhet","24.8219613,92.1585314"
Sylhet,Bianibazar,Churkai,3175,"3175 Churkai,Sylhet","24.8949294,91.8687063"
Sylhet,Bianibazar,jaldup,3171,"3171 jaldup,Sylhet","24.7812269,92.1729541"
Sylhet,Bianibazar,Kurar bazar,3173,"3173 Kurar bazar,Sylhet","24.8537022,92.13275259999999"
Sylhet,Bianibazar,Mathiura,3172,"3172 Mathiura,Sylhet","24.823597,92.11962299999999"
Sylhet,Bianibazar,Salia bazar,3174,"3174 Salia bazar,Sylhet","24.9807509,91.8582193"
Sylhet,Bishwanath,Bishwanath,3130,"3130 Bishwanath,Sylhet","24.8138498,91.75631560000001"
Sylhet,Bishwanath,Dashghar,3131,"3131 Dashghar,Sylhet","24.7910043,91.6784986"
Sylhet,Bishwanath,Deokalas,3133,"3133 Deokalas,Sylhet","24.7697691,91.7198215"
Sylhet,Bishwanath,Doulathpur,3132,"3132 Doulathpur,Sylhet","24.8055927,91.7003706"
Sylhet,Bishwanath,Singer kanch,3134,"3134 Singer kanch,Sylhet","24.8949294,91.8687063"
Sylhet,Fenchuganj,Fenchuganj,3116,"3116 Fenchuganj,Sylhet","24.69583,91.944132"
Sylhet,Fenchuganj,Fenchuganj SareKarkh,3117,"3117 Fenchuganj SareKarkh,Sylhet","24.69583,91.944132"
Sylhet,Goainghat,Chiknagul,3152,"3152 Chiknagul,Sylhet","24.9605202,92.0040599"
Sylhet,Goainghat,Goainghat,3150,"3150 Goainghat,Sylhet","25.0912518,91.9820361"
Sylhet,Goainghat,Jaflong,3151,"3151 Jaflong,Sylhet","25.1633829,92.0175242"
Sylhet,Golapganj,banigram,3164,"3164 banigram,Sylhet","24.8436606,92.092264"
Sylhet,Golapganj,Chandanpur,3165,"3165 Chandanpur,Sylhet","24.8949294,91.8687063"
