Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
খোকসা উপজেলা স্বাস্থ্য কমপ্লেক্স,23.8101891,89.2879717,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Khoksha Upazila,ChIJp_lKIfqN_jkRoCMrrFMP75c,"R76Q+35 Khoksha, Bangladesh",7MMFR76Q+35
"Hospital Gate, Khoksha",23.8101992,89.2877668,3.8,6,"['hospital', 'health', 'point_of_interest', 'establishment']","upozila health complex, জানিপুর টু খোকসা ষ্টেশন রোড, Khoksha",ChIJdULEgfmM_jkRqRcygwMte7E,"R76Q+34 Khoksha, Bangladesh",7MMFR76Q+34
খোকসা আধুনিক প্রাইভেট হাসপাতাল,23.8119888,89.288305,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Khoksha Upazila,ChIJyaRhiQiN_jkR1-Rzt15Qx4I,"R76Q+Q8 Khoksha, Bangladesh",7MMFR76Q+Q8
Khoksa Clinic,23.8120261,89.2883057,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Khoksha,ChIJkZk4srSN_jkRVMRvFq_cF58,"R76Q+R8 Khoksha, Bangladesh",7MMFR76Q+R8
বিশ্বাস হাসপাতাল,23.8017096,89.2789035,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Khoksha,ChIJKwKjcjiN_jkRw0nxq3ptnbY,"R72H+MH Khoksha, Bangladesh",7MMFR72H+MH
Enayetpur community Hospital,23.8119187,89.2455805,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Enayetpur,ChIJudFc_IST_jkRSFQv7JQvkbo,"R66W+Q6 Khoksha, Bangladesh",7MMFR66W+Q6
সদকী স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,23.8499415,89.2640739,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kumarkhali Upazila,ChIJxfRZrqiN_jkRYFE0F0bxxFs,"R7X7+XJ Kumarkhali, Bangladesh",7MMFR7X7+XJ
পাংশা কমিউনিটি ক্লিনিক,23.7912343,89.3880074,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Pangsha,ChIJO9OPK8aL_jkRyfNsLcQ6UdM,"Q9RQ+F6 Pangsha, Bangladesh",7MMFQ9RQ+F6
Union Health Center,23.7185142,89.3475366,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Pangsha Upazila, ইউনিয়ন স্বাস্থ্য কেন্দ্র",ChIJ00nBlPb0_jkREVWUcTpTujI,"P89X+C2 Kashbamajail, Bangladesh",7MMFP89X+C2
যশাই ইউনিয়ন স্বাস্থ্য কমপ্লেক্সে,23.8381188,89.3835798,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","পাংশা উপজেলা, Jashai Bazar",ChIJawBoWtGL_jkRdoSH44TMGOg,"R9QM+6C Jashai, Bangladesh",7MMFR9QM+6C
NOVA CLINIC TABRIA,23.8528852,89.2464223,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kumarkhali,ChIJ0dYKH-WT_jkRCH1WAlDJT1I,"V63W+5H Kumarkhali, Bangladesh",7MMFV63W+5H
ধোপাকেল্লা কমিউনিটি ক্লিনিক {Ibrahim},23.8250198,89.3926694,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Pangsha Upazila,ChIJg0mSS6SL_jkRPsKe5s14JLE,"R9GV+23 Char Jhikri, Bangladesh",7MMFR9GV+23
চৌরঙ্গী স্বাস্থ্য কেন্দ্র,23.8081508,89.2178866,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Kumarkhali Upazila,ChIJ569VG_iS_jkRSt2msrTvRkU,"R659+75 Ballabhpur, Bangladesh",7MMFR659+75
Family care hospital &diagonostic center unit 2,23.8588624,89.2375526,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kumarkhali,ChIJAxq_bryR_jkRt9I4jKcRJfE,"V65Q+G2 Kumarkhali, Bangladesh",7MMFV65Q+G2
Family Care Hospital & Diagonostic Center LTD,23.8589918,89.2375549,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kumarkhali,ChIJc88m0oyR_jkRfmE1ns4hXAg,"V65Q+H2 Kumarkhali, Bangladesh",7MMFV65Q+H2
Shohag clinic & diagostic centre,23.8590681,89.2375232,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kumarkhali,ChIJI5pA48eR_jkRv1JTJtgaRlk,"V65Q+J2 Kumarkhali, Bangladesh",7MMFV65Q+J2
