,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
825,Upazila Health Complex,24.9668585,89.02241579999999,4.2,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Akkelpur Main Road, Akkelpur",ChIJL8nUqN6L_DkRhFnn_z9pPYk,"X28C+PX Akkelpur, Bangladesh",7MPFX28C+PX
826,Ulakol Health Complex,22.966266600000004,89.0168192,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","ঝিকরগাছা উপজেলা, Ulakol Shankarpur Union",ChIJTWQTPTNH_zkRqQGIXMMoC4s,"X288+GP Shankarpur Union, Bangladesh",7MJFX288+GP
827,Patgram Upazila Health Complex,26.3492592,89.0164395,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Patgram,ChIJXaa-SJ524zkRwAQI_HKaYlQ,not found,not found
828,Upozila Health Complex,25.188914800000003,89.0158365,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Panchbibi Upazila,ChIJfxx7MF6X_DkRcqcBDwksBr0,"52Q8+H8 Panchbibi, Bangladesh",7MQF52Q8+H8
829,Upazilla Health Complex,25.8993787,89.0133561,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kishorganj,ChIJ22QWgStE4zkR4mYImcFoR5o,"V2X7+Q8 Kishorganj, Bangladesh",7MQFV2X7+Q8
831,Hakimpur Upazila Health Complex,25.286057800000002,89.012652,3.7,17,"['hospital', 'health', 'point_of_interest', 'establishment']","হাসপাতাল রোড, বাংলাহিলি, Hospital Road, Hakimpur",ChIJf0cxV_m9_DkRT0WIr6kMBkQ,"72P7+C3 Hakimpur, Bangladesh",7MQF72P7+C3
832,Jaldhaka Upazila Health Complex,26.0233955,89.0058327,4.2,13,"['hospital', 'health', 'point_of_interest', 'establishment']","Medical Road, Jaldhaka",ChIJqftbqhFC4zkRBSh5juhuMPc,"22F4+98 Jaldhaka, Bangladesh",7MRF22F4+98
833,"Upazila Health Complex, Kotchandpur",23.411456100000002,89.00542440000001,4.7,19,"['hospital', 'health', 'point_of_interest', 'establishment']","UHC, Kotchandpur",ChIJWfS1U8TY_jkRJawlNsp3pMI,"C264+H5 Kotchandpur, Bangladesh",7MMFC264+H5
835,"Upazila Health Complex, Sakhipur",22.5908142,89.0010874,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Sakhipur Upazila,ChIJLWtpUibjAToRc3T7enZdM0Q,"H2R2+8C Debhata, Bangladesh",7MJFH2R2+8C
836,Debhata Goverment Health Complex,22.5910541,89.0009174,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Satkhira - Kaliganj Highway, Debhata",ChIJyaT-sz_iAToRdGLbtf5LRoE,"H2R2+C9 Debhata, Bangladesh",7MJFH2R2+C9
837,Tyakserahata Health Complex,25.6663404,88.99998659999999,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Badarganj - Parbatipur Road, Ramnathpur",ChIJq6A2E7ZM4zkR-G2KNm5dRnQ,"MX8X+GX Ramnathpur, Bangladesh",7MQCMX8X+GX
838,Mirpur Upazila Health Complex,23.9312905,88.9966056,4.3,15,"['hospital', 'health', 'point_of_interest', 'establishment']","R745, Mirpur",ChIJOc8YIT-7_jkRhug_DVU_6UA,"WXJW+GJ Mirpur, Bangladesh",7MMCWXJW+GJ
840,Sholodag Upazila Health Center,24.020975,88.99223409999999,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bheramara Upazila,ChIJj6nM6tel_jkRhNY4HYbC234,"2XCR+9V Bheramara, Bangladesh",7MPC2XCR+9V
841,Birampur Upazila Health Complex,25.395542600000002,88.98783420000001,4.4,17,"['hospital', 'health', 'point_of_interest', 'establishment']",Birampur,ChIJj8vqtpm7_DkReCu9jals-48,"9XWQ+64 Birampur, Bangladesh",7MQC9XWQ+64
846,Faguar Diar Health Complex,24.322354500000003,88.9790547,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagatipara Road,ChIJNZOGcIca_DkRZbvCQ_l0wWQ,"8XCH+WJ Faguar, Bangladesh",7MPC8XCH+WJ
848,Atrai Upazila Health Complex,24.611162,88.97819969999999,4.4,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Atrai,ChIJH495lNRt_DkRjWbmFRNimhM,"JX6H+F7 Atrai, Bangladesh",7MPCJX6H+F7
850,Upazila Health Complex,24.2981986,88.9621839,3.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Bagatipara,ChIJEShLsuka_DkRh6cxATHeGOA,"7XX6+7V Bagatipara, Bangladesh",7MPC7XX6+7V
