Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Kalihati Health Complex,24.3897342,89.9905238,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalihati,ChIJm16z2TH2_TkRuWOrWXYrYQU,"9XQR+V6 Kalihati, Bangladesh",7MPF9XQR+V6
50 Bed Up health Complex,23.3825636,89.9814899,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhanga Upazila,ChIJv5aqQMEr_jkRcyj5vkMfxwQ,"9XMJ+2H Bhanga, Bangladesh",7MMF9XMJ+2H
Bhanga Upazila Health Complex,23.3828968,89.9814431,4.8,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJrcxYQEMr_jkR_V1B5tihGTI,"9XMJ+5H Bhanga, Bangladesh",7MMF9XMJ+5H
Harirampur Upazila Health Complex,23.7431528,89.975605,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Harirampur,ChIJVf_FIjkg_jkRxh2b95gFE_U,"PXVG+76 Harirampur, Bangladesh",7MMFPXVG+76
Ghatail Upazila Health Complex,24.4843994,89.9735545,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ghatail Upazila,ChIJKws1GZD1_TkRRPIh8UF6nhY,"FXMF+QC Ghatail, Bangladesh",7MPFFXMF+QC
"Upazila Health complex, Nazirpur",22.7086728,89.9681079,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Nazirpur, Nazirpur Sadar Union",ChIJjZoy6wH__zkRUJQ_ni7wN_4,"PX59+F6 Nazirpur Sadar Union, Bangladesh",7MJFPX59+F6
Delduar Upazila Health Complex,24.1645885,89.9678325,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Tangail - Delduar Road,ChIJQZ_1_-T__TkRl7MNjGjsRVE,"5X79+R4 Delduar, Bangladesh",7MPF5X79+R4
Patharghata Upazila Health Complex,22.0329157,89.9660343,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Patharghata,ChIJvzk0tTN4ADoRq9h7D1tETeo,not found,not found
Powjan Health Complex,24.3272916,89.9653593,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bolla - Elenga Road, Powjan",ChIJ4aqOZCz4_TkRi4199I8SGY0,"8XG8+W4 Powjan, Bangladesh",7MPF8XG8+W4
Nachnapara Health Complex,22.1602243,89.962028,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Patharghata - Mathbaria - Charkhali Road,ChIJA7a4WjN0ADoRnPO9SVqBMK4,"5X66+3R Nali Chak, Bangladesh",7MJF5X66+3R
Dhanbari Upazila Health Complex,24.6897831,89.9540537,4.3,7,"['hospital', 'health', 'point_of_interest', 'establishment']","Joydevpur - Tangail - Jamalpur Highway, Dhanbari",ChIJV4Vz9u2I_TkRw5fEFgUY9zo,"MXQ3+WJ Dhanbari, Bangladesh",7MPFMXQ3+WJ
Mathbaria Upazila Health Complex,22.2857151,89.9536329,4.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Mathbaria,ChIJ27uq_gcLADoRYNHjkQENnPQ,"7XP3+7F Mathbaria, Bangladesh",7MJF7XP3+7F
Gopalpur Upazila Health Complex,24.5498899,89.9271781,4.6,13,"['hospital', 'health', 'point_of_interest', 'establishment']",Gopalpur,ChIJuatBWWCL_TkRbhWTJb8T2YA,"GWXG+XV Gopalpur, Bangladesh",7MPFGWXG+XV
Mushuddi Health Complex,24.6724778,89.8984677,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Musuddi,ChIJNXx8nxyP_TkR89Lh-EEoqIA,"MVCX+X9 Musuddi, Bangladesh",7MPFMVCX+X9
Nagarkanda Upazila Health Complex,23.420866,89.8942243,3.3,18,"['hospital', 'health', 'point_of_interest', 'establishment']","Nagarkanda Road, Nagarkanda",ChIJ15gWD_ss_jkRTejLML5TUXg,"CVCV+8M Nagarkanda, Bangladesh",7MMFCVCV+8M
Upazilla health complex kachua,22.654393,89.8898953,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kachua,ChIJjzFqmff4_zkRwirze7TvDoY,"MV3Q+QX Kachua, Bangladesh",7MJFMV3Q+QX
"Upazila Health Complex, Tungipara",22.8939923,89.8897451,3.6,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Tungipara Upazila,ChIJzcVDfS3k_zkRyI_0TwTlMFo,"VVVQ+HV Patgati, Bangladesh",7MJFVVVQ+HV
Ghior Upazila Health Complex,23.8909139,89.8771139,3.3,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Ghior,ChIJS7LSpkUa_jkRwRJ59QeTw-o,"VVRG+9R Ghior, Bangladesh",7MMFVVRG+9R
Bhuapur Upazila Health Complex,24.4629235,89.8746932,4.5,8,"['hospital', 'health', 'point_of_interest', 'establishment']","R480, Bhuapur",ChIJtRkqkUTy_TkR7Pd3ajmXawk,"FV7F+5V Bhuapur, Bangladesh",7MPFFV7F+5V
Nagarpur Upazilla Health Complex,24.0505453,89.8740417,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Nagarpur,ChIJd7NuzVcH_jkR0iP1mtE2nnE,"3V2F+6J Nagarpur, Bangladesh",7MPF3V2F+6J
Chitalmari Health complex,22.7955659,89.872696,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chitalmari Upazila,ChIJ0y2w_7X7_zkROqm9LBoqM8I,"QVWF+63 Chitalmari Union, Bangladesh",7MJFQVWF+63
Muksudpur Upazila Health Complex,23.3194117,89.8724368,4.2,34,"['hospital', 'health', 'point_of_interest', 'establishment']",Muksudpur,ChIJZQrWrkPS_zkReHpu5MSy11g,"8V9C+QX Muksudpur, Bangladesh",7MMF8V9C+QX
Bakshiganj Upazila Health Complex,25.1775692,89.8706343,4.4,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakshiganj Upazila,ChIJ5_fbNt1l_TkRLH52OdH-kEg,"5VHC+27 Bakshiganj, Bangladesh",7MQF5VHC+27
Shewail Health Complex,24.0249585,89.8692203,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","নাগরপুর উপজেলা, Vill+P.O - Shewail, Thana- Nagarpur, District",ChIJDS0VtrUF_jkR7xF5CCHIPsk,"2VF9+XM Nagarpur, Bangladesh",7MPF2VF9+XM
"Sharankhola Upazila Health Complex, Bagerhat",22.3128846,89.8499333,4.6,11,"['hospital', 'health', 'point_of_interest', 'establishment']",Sharankhola,ChIJiZ5XhgoSADoRIt0GuxUwsKc,"8R7X+5X Sharankhola, Bangladesh",7MJF8R7X+5X
"Upazilla Health Complex , Melandaha, Dhaka Division, Bangladesh",24.9821864,89.835955,4.7,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Melandaha,ChIJcSgepUZ3_TkRS5Qokov-QIo,"XRJP+V9 Melandaha, Bangladesh",7MPFXRJP+V9
"Upazila Health Complex, Sarishabari, Jamalpur",24.7552498,89.8358522,5,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Sarishabari,ChIJn_gxG9ya_TkRX5OnU3Blids,"QR4P+38 Sarishabari, Bangladesh",7MPFQR4P+38
"Upazila Health Complex, Daulatpur, Manikganj",23.9664277,89.8292201,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Barangail - Ghior - Daulatpur - Tangail Road,ChIJr4gsvTUP_jkRFc5OTHKRwIM,"XR8H+HM Ambaria, Bangladesh",7MMFXR8H+HM
