District,Thana,SubOffice,Post Code,location,coordinate
Patuakhali,Bauphal,Bauphal,8620,"8620 Bauphal,Patuakhali","22.4192529,90.55651379999999"
Patuakhali,Bauphal,Birpasha,8622,"8622 Birpasha,Patuakhali","22.4750204,90.4815915"
Patuakhali,Bauphal,Kalaia,8624,"8624 Kalaia,Patuakhali","22.3938263,90.5837191"
Patuakhali,Bauphal,Kalishari,8623,"8623 Kalishari,Patuakhali","22.3586174,90.3317203"
Patuakhali,Dashmina,Dashmina,8630,"8630 Dashmina,Patuakhali","22.2791401,90.56833990000001"
Patuakhali,Galachipa,Galachipa,8640,"8640 Galachipa,Patuakhali","22.1633734,90.41016189999999"
Patuakhali,Galachipa,Gazipur Bandar,8641,"8641 Gazipur Bandar,Patuakhali","23.9999405,90.4202724"
Patuakhali,Khepupara,Khepupara,8650,"8650 Khepupara,Patuakhali","21.9938226,90.2291565"
Patuakhali,Khepupara,Mahipur,8651,"8651 Mahipur,Patuakhali","21.86,90.13"
Patuakhali,Patuakhali Sadar,Dumkee,8602,"8602 Dumkee,Patuakhali","22.4643855,90.3849441"
Patuakhali,Patuakhali Sadar,Moukaran,8601,"8601 Moukaran,Patuakhali","22.438986,90.34617659999999"
Patuakhali,Patuakhali Sadar,Patuakhali Sadar,8600,"8600 Patuakhali Sadar,Patuakhali","22.3587792,90.34523809999999"
Patuakhali,Patuakhali Sadar,Rahimabad,8603,"8603 Rahimabad,Patuakhali","22.3586174,90.3317203"
Patuakhali,Subidkhali,Subidkhali,8610,"8610 Subidkhali,Patuakhali","22.2429268,90.2071586"
Pirojpur,Bhandaria,Bhandaria,8550,"8550 Bhandaria,Pirojpur","22.4832118,90.0591175"
Pirojpur,Bhandaria,Dhaoa,8552,"8552 Dhaoa,Pirojpur","22.4589464,90.0233208"
Pirojpur,Bhandaria,Kanudashkathi,8551,"8551 Kanudashkathi,Pirojpur","22.5841051,89.9720133"
Pirojpur,kaukhali,Jolagati,8513,"8513 Jolagati,Pirojpur","22.5394054,90.0349866"
