Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Gosairhat Adhunik Hospital,23.0654502,90.4369919,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Gohairhat, গোসাইরহাট",ChIJJdRIt24XVTcRFN3U4I_qFYc,"3C8P+5Q Gosairhat Bazar, Bangladesh",7MMG3C8P+5Q
Goshairhat Diagnostic Center,23.0783074,90.4284755,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Gosairhat Upazila,ChIJGSgZg9UXVTcRgeZp2UldvWE,"3CHH+89 Gosairhat Bazar, Bangladesh",7MMG3CHH+89
Gosairhat Sadar Hospital,23.0787741,90.4288296,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Gosairhat Upazila,ChIJk03vEsIXVTcRHnepOKBc6q0,"3CHH+GG Gosairhat Bazar, Bangladesh",7MMG3CHH+GG
Upozila Health complex,23.0788789,90.4291605,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Gosairhat Upazila,ChIJGcY02DgXVTcRmFtCb_WCQsM,"3CHH+HM Gosairhat Bazar, Bangladesh",7MMG3CHH+HM
Goshairhat Upazila Health Complex,23.078989,90.4288683,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",not found,ChIJyabjJjkXVTcRcHtCUHNoGuE,not found,not found
Lutheran Health Care Bangladesh (LHCB),22.4596832,90.3852399,4.8,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Dumki Upazila, Lutheran Road, Sreerampur",ChIJEe0d9DnPqjARCL0JBxe8S1A,"F95P+V3 Dumki, Bangladesh",7MJGF95P+V3
Haq-Islam Charitable Medical Centre,22.5279334,90.3564173,2.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Shahebganj - Kalaskathi Road,ChIJJZkim-DLqjARayWZKfDsFSg,"G9H4+5H Bebaz, Bangladesh",7MJGG9H4+5H
Luxmipasha Healthcare Complex,22.5044518,90.4152358,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kabai - Luxmipasha Link Bridge,ChIJHe6MDGHOqjARvR8RA6NqU5o,"GC38+Q3 Chunakhali, Bangladesh",7MJGGC38+Q3
নাজা মেডিকেল হল,22.4974957,90.4111404,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bakerganj Upazila,ChIJK07bX-vPqjARwMSeLnUaXmc,"FCW6+XF Karkhana, Bangladesh",7MJGFCW6+XF
Bakerganj Upazila Health Complex,22.5388143,90.3463322,4.1,13,"['hospital', 'health', 'point_of_interest', 'establishment']",সাহেবগঞ্জ রোড,ChIJxeR6gc_LqjARGPgxH9q6EjQ,"G8QW+GG Bakergonj, Bangladesh",7MJGG8QW+GG
