Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
মা হোমিও কেয়ার,23.4338753,91.1391556,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Gondhomoti Road, Hazaribagh",ChIJna10XLF_VDcRIZCIF-o4_Hs
Birshrestho Nur Mohammad Hospital,23.427393,91.1333815,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kotbari,ChIJZYKEZS59VDcRm9lvGUiYLQE
HDmovie24 Insef Specialized Hospital Limited,23.4416469,91.1430341,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","38-tomsombrideg, Comilla - Kotbari Road, কুমিল্লা",ChIJyRdS5tZ_VDcRpUF3MjQDD38
ফয়সাল মেডিকেল হল,23.4440809,91.1419303,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Yeasin Complex, Near Court Bari, Comilla - Kotbari Road, Cumilla",ChIJVRXtfJl-VDcRQoaXGnQdxdk
Anower Bone Broken Dispensary,23.3445917,91.116232,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","keshenpar,poduar mosque, Cumilla",ChIJj9lmn7iHVDcRwlmd1kFC2qA
Shilmuri Hospital,23.3462946,91.0951138,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Shilmori,ChIJNVmOBaeHVDcR2-qNilTSEI8
K.R hospital (Lagnasar Bone Broke Medical Center Lalmai Comilla),23.353158,91.123913,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ8_CbA3aHVDcRPVm3eBz_GNY
Chandupur Community Clinic,23.332828,91.1211466,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Keshonpar,ChIJL4070IiHVDcRQ82mJTYt64Y
Bagmara Hospital,23.3389657,91.1434793,3.9,16,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Sadar South Upazila,ChIJizWW7dCAVDcRugH5tXmms5Y
Lalmai Upazila Health Complex (Proposed),23.3385932,91.1436208,4.4,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Sadar Dakshin Upazila,ChIJE00f7dCAVDcRV5JOktbhVo4
বাগমারা ডিজিটাল ডায়াগনষ্টিক এন্ড কনসালটেশন সেন্টার,23.3349082,91.1433895,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","হাজী ফজলুল হক মার্কেট, বাগমারা দক্ষিন বাজার, এক্সিম ব্যাংকের নিচ তলা, লালমাই",ChIJnU0CEA-BVDcRyV3GKPmdFRk
bagmara chiken market,23.3344264,91.1451735,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Sadar Dakshin Upazila,ChIJm76F2dmAVDcRmhR1MPbNi4A
Ghoshpa Gov't Community Clinic,23.3283027,91.0769496,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bizra - Barura Road,ChIJG2yE5nGHVDcRa_4j37e5IB0
